id,oauth_id,name,password,email,type,secret,website,affiliation,country,bracket,hidden,banned,verified,team_id,created
1,,adm1564,veryweakpassword-1,adm1564@contosco.com,admin,,,,BR,,TRUE,FALSE,TRUE,,10/27/2022 13:13
2,,adm1212,veryweakpassword-2,adm1212@contosco.com,admin,,,,BR,,TRUE,FALSE,TRUE,,10/27/2022 13:23
3,,adm1064,veryweakpassword-3,adm1064@contosco.com,admin,,,,BR,,TRUE,FALSE,TRUE,,10/27/2022 13:24
4,,user96254,veryweakpassword-4,user96254@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:09.4
5,,user93034,veryweakpassword-5,user93034@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:09.8
6,,user95844,veryweakpassword-6,user95844@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:10.1
7,,user95498,veryweakpassword-7,user95498@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:10.5
8,,user93675,veryweakpassword-8,user93675@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:10.8
9,,user95004,veryweakpassword-9,user95004@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:11.2
10,,user95248,veryweakpassword-10,user95248@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:11.6
11,,user94365,veryweakpassword-11,user94365@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:12.0
12,,user93547,veryweakpassword-12,user93547@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:12.4
13,,user95186,veryweakpassword-13,user95186@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:12.8
14,,user93349,veryweakpassword-14,user93349@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:13.1
15,,user94061,veryweakpassword-15,user94061@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:13.5
16,,user96249,veryweakpassword-16,user96249@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:13.8
17,,user95718,veryweakpassword-17,user95718@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:14.2
18,,user92922,veryweakpassword-18,user92922@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:14.6
19,,user95580,veryweakpassword-19,user95580@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:14.9
20,,user95401,veryweakpassword-20,user95401@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:15.3
21,,user94540,veryweakpassword-21,user94540@contosco.com,user,,,,BR,,FALSE,FALSE,TRUE,,50:15.6
